"date","name","precip","lon","lat"
2019-08-29,"Dongang",1.2,86.29,27.9
2019-08-29,"Gongar",0,86.22,27.84
2019-08-29,"Na",0.8,86.43,27.88
2019-08-29,"Simigaun",0,86.23,27.87
2019-08-29,"Singati",0,86.16,27.74
2019-08-30,"Beding",1.6,86.38,27.9
2019-08-30,"Dongang",29.4,86.29,27.9
2019-08-30,"Gongar",8.6,86.22,27.84
2019-08-30,"Na",1.6,86.43,27.88
2019-08-30,"Simigaun",28.8,86.23,27.87
2019-08-30,"Singati",15,86.16,27.74
2019-08-31,"Beding",10.6,86.38,27.9
2019-08-31,"Dongang",34.4,86.29,27.9
2019-08-31,"Gongar",51,86.22,27.84
2019-08-31,"Na",4.8,86.43,27.88
2019-08-31,"Simigaun",28.6,86.23,27.87
2019-08-31,"Singati",27.2,86.16,27.74
2019-09-01,"Beding",10.6,86.38,27.9
2019-09-01,"Dongang",16.4,86.29,27.9
2019-09-01,"Gongar",15.2,86.22,27.84
2019-09-01,"Na",5.6,86.43,27.88
2019-09-01,"Simigaun",11.6,86.23,27.87
2019-09-01,"Singati",16.6,86.16,27.74
2019-09-02,"Beding",12.2,86.38,27.9
2019-09-02,"Dongang",14.6,86.29,27.9
2019-09-02,"Gongar",36.4,86.22,27.84
2019-09-02,"Na",8.2,86.43,27.88
2019-09-02,"Simigaun",19.2,86.23,27.87
2019-09-02,"Singati",47.8,86.16,27.74
2019-09-03,"Beding",36.4,86.38,27.9
2019-09-03,"Dongang",34,86.29,27.9
2019-09-03,"Gongar",19,86.22,27.84
2019-09-03,"Na",19.2,86.43,27.88
2019-09-03,"Simigaun",16,86.23,27.87
2019-09-03,"Singati",35.4,86.16,27.74
2019-09-04,"Beding",0.4,86.38,27.9
2019-09-04,"Dongang",1.2,86.29,27.9
2019-09-04,"Gongar",12.4,86.22,27.84
2019-09-04,"Na",0.4,86.43,27.88
2019-09-04,"Simigaun",4.8,86.23,27.87
2019-09-04,"Singati",8.8,86.16,27.74
2019-09-05,"Beding",2.6,86.38,27.9
2019-09-05,"Dongang",27,86.29,27.9
2019-09-05,"Gongar",20.2,86.22,27.84
2019-09-05,"Na",0.4,86.43,27.88
2019-09-05,"Simigaun",13.4,86.23,27.87
